,dates2,cum_cases,cum_deaths,cum_recover,cum_hosp,cum_icu,cum_PCRtested,new_cases,new_deaths,new_recover,new_hosp,new_icu,new_uninfected,new_PCRtested
0,03/04/20,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1,03/05/20,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2,03/06/20,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3,03/07/20,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
4,03/08/20,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
5,03/09/20,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
6,03/10/20,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
7,03/11/20,3.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
8,03/12/20,9.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
9,03/13/20,23.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
10,03/14/20,23.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
11,03/15/20,37.0,-1.0,-1.0,-1.0,-1.0,-1.0,5.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
12,03/16/20,56.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
13,03/17/20,83.0,-1.0,-1.0,-1.0,-1.0,-1.0,12.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
14,03/18/20,121.0,-1.0,-1.0,-1.0,-1.0,-1.0,17.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
15,03/19/20,174.0,-1.0,-1.0,-1.0,-1.0,-1.0,24.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
16,03/20/20,235.0,3.0,-1.0,-1.0,-1.0,-1.0,30.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
17,03/21/20,315.0,4.0,-1.0,-1.0,-1.0,-1.0,42.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
18,03/22/20,425.0,4.0,-1.0,-1.0,-1.0,-1.0,55.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
19,03/23/20,466.0,5.0,-1.0,-1.0,-1.0,-1.0,59.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
20,03/24/20,525.0,5.0,-1.0,-1.0,-1.0,-1.0,63.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
21,03/25/20,667.0,7.0,-1.0,-1.0,-1.0,-1.0,78.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
22,03/26/20,806.0,8.0,-1.0,-1.0,-1.0,-1.0,90.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
23,03/27/20,969.0,13.0,-1.0,-1.0,-1.0,-1.0,105.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0
24,03/28/20,1134.0,13.0,-1.0,-1.0,-1.0,-1.0,117.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0
25,03/29/20,1276.0,13.0,-1.0,-1.0,-1.0,-1.0,122.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0
26,03/30/20,1422.0,14.0,-1.0,-1.0,-1.0,-1.0,137.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0
27,03/31/20,1585.0,16.0,-1.0,337.0,-1.0,-1.0,151.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0
28,04/01/20,1821.0,24.0,-1.0,398.0,-1.0,-1.0,165.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0
