,dates2,cum_cases,cum_deaths,cum_recover,cum_hosp,cum_icu,cum_PCRtested,new_cases,new_deaths,new_recover,new_hosp,new_icu,new_uninfected,new_PCRtested
0,03/06/20,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1,03/07/20,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2,03/08/20,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3,03/09/20,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
4,03/10/20,6.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
5,03/11/20,10.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
6,03/12/20,12.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
7,03/13/20,12.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
8,03/14/20,15.0,0.0,-1.0,-1.0,-1.0,-1.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
9,03/15/20,19.0,0.0,-1.0,-1.0,-1.0,-1.0,2.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0
10,03/16/20,24.0,1.0,-1.0,-1.0,-1.0,-1.0,3.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0
11,03/17/20,30.0,2.0,-1.0,-1.0,-1.0,-1.0,3.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0
12,03/18/20,39.0,2.0,-1.0,-1.0,-1.0,-1.0,4.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0
13,03/19/20,56.0,2.0,-1.0,-1.0,-1.0,-1.0,6.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0
14,03/20/20,79.0,2.0,-1.0,-1.0,-1.0,-1.0,10.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0
15,03/21/20,126.0,4.0,-1.0,1.0,-1.0,-1.0,16.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0
16,03/22/20,201.0,6.0,-1.0,1.0,-1.0,-1.0,26.0,1.0,-1.0,0.0,-1.0,-1.0,-1.0
17,03/23/20,259.0,7.0,-1.0,1.0,-1.0,-1.0,34.0,1.0,-1.0,0.0,-1.0,-1.0,-1.0
18,03/24/20,365.0,12.0,-1.0,1.0,-1.0,-1.0,48.0,1.0,-1.0,0.0,-1.0,-1.0,-1.0
19,03/25/20,477.0,14.0,-1.0,1.0,-1.0,-1.0,63.0,2.0,-1.0,0.0,-1.0,-1.0,-1.0
20,03/26/20,645.0,17.0,-1.0,-1.0,-1.0,-1.0,84.0,2.0,-1.0,0.0,-1.0,-1.0,-1.0
21,03/27/20,981.0,24.0,-1.0,-1.0,-1.0,-1.0,129.0,3.0,-1.0,0.0,-1.0,-1.0,-1.0
22,03/28/20,1232.0,31.0,-1.0,-1.0,-1.0,-1.0,158.0,4.0,-1.0,0.0,-1.0,-1.0,-1.0
23,03/29/20,1514.0,32.0,-1.0,-1.0,-1.0,-1.0,188.0,4.0,-1.0,0.0,-1.0,-1.0,-1.0
24,03/30/20,1786.0,35.0,-1.0,-1.0,-1.0,-1.0,218.0,4.0,-1.0,0.0,-1.0,-1.0,-1.0
25,03/31/20,2159.0,49.0,-1.0,-1.0,-1.0,-1.0,256.0,5.0,-1.0,0.0,-1.0,-1.0,-1.0
26,04/01/20,2565.0,65.0,-1.0,-1.0,-1.0,-1.0,298.0,7.0,-1.0,-1.0,-1.0,-1.0,-1.0
