,dates2,cum_cases,cum_deaths,cum_recover,cum_hosp,cum_icu,cum_PCRtested,new_cases,new_deaths,new_recover,new_hosp,new_icu,new_uninfected,new_PCRtested
0,03/07/20,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1,03/08/20,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2,03/09/20,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3,03/10/20,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
4,03/11/20,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
5,03/12/20,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
6,03/13/20,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
7,03/14/20,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
8,03/15/20,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
9,03/16/20,7.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
10,03/17/20,10.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
11,03/18/20,14.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
12,03/19/20,16.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
13,03/20/20,26.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
14,03/21/20,37.0,-1.0,-1.0,-1.0,-1.0,-1.0,5.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
15,03/22/20,48.0,-1.0,-1.0,-1.0,-1.0,-1.0,7.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
16,03/23/20,56.0,-1.0,-1.0,-1.0,-1.0,-1.0,7.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
17,03/24/20,77.0,-1.0,-1.0,4.0,-1.0,-1.0,10.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
18,03/25/20,90.0,-1.0,-1.0,6.0,-1.0,-1.0,11.0,-1.0,-1.0,2.0,-1.0,-1.0,-1.0
19,03/26/20,95.0,-1.0,-1.0,-1.0,-1.0,-1.0,11.0,-1.0,-1.0,2.0,-1.0,-1.0,-1.0
20,03/27/20,106.0,-1.0,-1.0,7.0,-1.0,-1.0,11.0,-1.0,-1.0,2.0,-1.0,-1.0,-1.0
21,03/28/20,120.0,-1.0,-1.0,8.0,-1.0,-1.0,12.0,-1.0,-1.0,2.0,-1.0,-1.0,-1.0
22,03/29/20,151.0,-1.0,-1.0,12.0,-1.0,-1.0,15.0,-1.0,-1.0,2.0,-1.0,-1.0,-1.0
23,03/30/20,175.0,-1.0,-1.0,12.0,-1.0,-1.0,17.0,-1.0,-1.0,2.0,-1.0,-1.0,-1.0
24,03/31/20,204.0,-1.0,49.0,12.0,6.0,-1.0,18.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0
25,04/01/20,208.0,1.0,58.0,13.0,6.0,-1.0,17.0,-1.0,9.0,1.0,0.0,-1.0,-1.0
26,04/02/20,258.0,1.0,69.0,15.0,6.0,-1.0,23.0,0.0,10.0,1.0,0.0,10.0,-1.0
27,04/03/20,285.0,2.0,72.0,15.0,6.0,-1.0,26.0,0.0,8.0,1.0,0.0,8.0,-1.0
28,04/04/20,319.0,3.0,78.0,18.0,6.0,-1.0,28.0,1.0,7.0,1.0,0.0,8.0,-1.0
