,dates2,cum_cases,cum_deaths,cum_recover,cum_hosp,cum_icu,cum_PCRtested,new_cases,new_deaths,new_recover,new_hosp,new_icu,new_uninfected,new_PCRtested
0,03/06/20,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1,03/07/20,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2,03/08/20,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3,03/09/20,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
4,03/10/20,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
5,03/11/20,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
6,03/12/20,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
7,03/13/20,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
8,03/14/20,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
9,03/15/20,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
10,03/16/20,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
11,03/17/20,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
12,03/18/20,1.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
13,03/19/20,2.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
14,03/20/20,7.0,0.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
15,03/21/20,11.0,0.0,-1.0,1.0,-1.0,-1.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
16,03/22/20,12.0,0.0,-1.0,1.0,-1.0,-1.0,2.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0
17,03/23/20,16.0,0.0,-1.0,1.0,-1.0,-1.0,2.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0
18,03/24/20,20.0,0.0,-1.0,1.0,-1.0,-1.0,3.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0
19,03/25/20,39.0,0.0,-1.0,1.0,-1.0,-1.0,5.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0
20,03/26/20,51.0,0.0,-1.0,1.0,-1.0,-1.0,7.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0
21,03/27/20,76.0,0.0,-1.0,1.0,-1.0,-1.0,10.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0
22,03/28/20,96.0,0.0,-1.0,1.0,-1.0,-1.0,12.0,0.0,-1.0,0.0,-1.0,-1.0,-1.0
23,03/29/20,113.0,0.0,-1.0,1.0,-1.0,-1.0,14.0,0.0,-1.0,0.0,-1.0,-1.0,-1.0
24,03/30/20,126.0,1.0,-1.0,1.0,-1.0,-1.0,16.0,0.0,-1.0,0.0,-1.0,-1.0,-1.0
25,03/31/20,162.0,1.0,-1.0,1.0,-1.0,-1.0,20.0,0.0,-1.0,0.0,-1.0,-1.0,-1.0
26,04/01/20,191.0,1.0,-1.0,1.0,-1.0,-1.0,22.0,0.0,-1.0,0.0,-1.0,-1.0,-1.0
27,04/02/20,217.0,2.0,-1.0,1.0,-1.0,-1.0,24.0,0.0,-1.0,0.0,-1.0,-1.0,-1.0
28,04/03/20,237.0,2.0,-1.0,1.0,-1.0,-1.0,23.0,0.0,-1.0,0.0,-1.0,-1.0,-1.0
29,04/04/20,282.0,2.0,-1.0,-1.0,-1.0,-1.0,27.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0
30,04/05/20,324.0,3.0,-1.0,-1.0,-1.0,-1.0,30.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0
31,04/06/20,345.0,4.0,-1.0,-1.0,-1.0,-1.0,31.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0
32,04/07/20,412.0,4.0,-1.0,-1.0,-1.0,-1.0,36.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0
33,04/08/20,462.0,4.0,-1.0,-1.0,-1.0,-1.0,39.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0
34,04/09/20,523.0,5.0,-1.0,-1.0,-1.0,-1.0,44.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0
35,04/10/20,554.0,5.0,63.0,-1.0,-1.0,-1.0,45.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0
36,04/11/20,577.0,5.0,63.0,-1.0,-1.0,-1.0,42.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0
37,04/12/20,611.0,8.0,83.0,-1.0,-1.0,-1.0,41.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0
38,04/13/20,626.0,9.0,85.0,164.0,73.0,-1.0,40.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0
39,04/14/20,640.0,9.0,147.0,164.0,73.0,-1.0,33.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0
40,04/15/20,702.0,10.0,211.0,164.0,73.0,-1.0,34.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0
41,04/16/20,739.0,13.0,223.0,-1.0,-1.0,-1.0,31.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0
42,04/17/20,754.0,13.0,223.0,-1.0,-1.0,-1.0,29.0,1.0,23.0,-1.0,-1.0,24.0,-1.0
43,04/18/20,785.0,16.0,255.0,-1.0,-1.0,-1.0,30.0,2.0,27.0,-1.0,-1.0,29.0,-1.0
44,04/19/20,863.0,18.0,265.0,-1.0,-1.0,-1.0,36.0,1.0,26.0,-1.0,-1.0,27.0,-1.0
45,04/20/20,902.0,24.0,290.0,-1.0,-1.0,-1.0,39.0,2.0,29.0,-1.0,-1.0,31.0,-1.0
46,04/21/20,914.0,26.0,330.0,-1.0,-1.0,-1.0,39.0,2.0,26.0,-1.0,-1.0,28.0,-1.0
47,04/22/20,939.0,26.0,330.0,-1.0,-1.0,-1.0,34.0,2.0,17.0,-1.0,-1.0,19.0,-1.0
48,04/23/20,967.0,29.0,380.0,-1.0,-1.0,-1.0,33.0,2.0,22.0,-1.0,-1.0,24.0,-1.0
49,04/24/20,988.0,32.0,439.0,-1.0,-1.0,-1.0,33.0,3.0,31.0,-1.0,-1.0,34.0,-1.0
50,04/25/20,1020.0,32.0,439.0,-1.0,-1.0,-1.0,34.0,2.0,26.0,-1.0,-1.0,28.0,-1.0
51,04/26/20,1044.0,34.0,455.0,-1.0,-1.0,-1.0,26.0,2.0,27.0,-1.0,-1.0,29.0,-1.0
52,04/27/20,1063.0,36.0,455.0,-1.0,-1.0,-1.0,23.0,2.0,24.0,-1.0,-1.0,26.0,-1.0
