,dates2,cum_cases,cum_deaths,cum_recover,cum_hosp,cum_icu,cum_PCRtested,new_cases,new_deaths,new_recover,new_hosp,new_icu,new_uninfected,new_PCRtested
0,03/07/20,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1,03/08/20,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2,03/09/20,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3,03/10/20,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
4,03/11/20,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
5,03/12/20,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
6,03/13/20,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
7,03/14/20,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
8,03/15/20,5.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
9,03/16/20,5.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
10,03/17/20,7.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
11,03/18/20,9.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
12,03/19/20,11.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
13,03/20/20,23.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
14,03/21/20,31.0,-1.0,-1.0,-1.0,-1.0,-1.0,4.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
15,03/22/20,42.0,0.0,-1.0,-1.0,-1.0,-1.0,5.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
16,03/23/20,47.0,0.0,-1.0,-1.0,-1.0,-1.0,6.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0
17,03/24/20,50.0,0.0,-1.0,-1.0,-1.0,-1.0,6.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0
18,03/25/20,73.0,0.0,-1.0,-1.0,-1.0,-1.0,9.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0
19,03/26/20,123.0,0.0,-1.0,-1.0,-1.0,-1.0,16.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0
20,03/27/20,189.0,3.0,-1.0,-1.0,-1.0,-1.0,24.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0
21,03/28/20,230.0,4.0,-1.0,25.0,-1.0,-1.0,28.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0
22,03/29/20,261.0,5.0,-1.0,36.0,-1.0,-1.0,31.0,1.0,-1.0,11.0,-1.0,-1.0,-1.0
23,03/30/20,310.0,6.0,-1.0,39.0,-1.0,-1.0,38.0,1.0,-1.0,7.0,-1.0,-1.0,-1.0
24,03/31/20,415.0,7.0,-1.0,45.0,6.0,-1.0,52.0,1.0,-1.0,7.0,-1.0,-1.0,-1.0
25,04/01/20,525.0,9.0,-1.0,46.0,7.0,-1.0,65.0,1.0,-1.0,5.0,1.0,-1.0,-1.0
26,04/02/20,669.0,9.0,-1.0,49.0,7.0,-1.0,78.0,1.0,-1.0,5.0,0.0,-1.0,-1.0
27,04/03/20,891.0,9.0,-1.0,56.0,7.0,-1.0,100.0,1.0,-1.0,5.0,0.0,-1.0,-1.0
28,04/04/20,1013.0,10.0,-1.0,62.0,8.0,-1.0,112.0,1.0,-1.0,5.0,0.0,-1.0,-1.0
29,04/05/20,1077.0,10.0,-1.0,66.0,11.0,-1.0,117.0,1.0,-1.0,4.0,1.0,-1.0,-1.0
30,04/06/20,1101.0,10.0,-1.0,77.0,16.0,-1.0,113.0,1.0,-1.0,5.0,2.0,-1.0,-1.0
31,04/07/20,1170.0,13.0,-1.0,83.0,21.0,-1.0,108.0,1.0,-1.0,5.0,2.0,-1.0,-1.0
32,04/08/20,1210.0,15.0,-1.0,93.0,24.0,-1.0,98.0,1.0,-1.0,7.0,2.0,-1.0,-1.0
33,04/09/20,1232.0,18.0,-1.0,113.0,29.0,-1.0,80.0,1.0,-1.0,9.0,3.0,-1.0,-1.0
34,04/10/20,1353.0,24.0,-1.0,127.0,33.0,-1.0,66.0,2.0,-1.0,10.0,4.0,-1.0,-1.0
35,04/11/20,1396.0,25.0,-1.0,128.0,35.0,-1.0,55.0,2.0,-1.0,9.0,4.0,-1.0,-1.0
36,04/12/20,1407.0,27.0,-1.0,131.0,38.0,-1.0,47.0,2.0,-1.0,9.0,4.0,-1.0,-1.0
37,04/13/20,1426.0,27.0,-1.0,132.0,38.0,-1.0,46.0,2.0,-1.0,8.0,3.0,-1.0,-1.0
38,04/14/20,1453.0,33.0,-1.0,135.0,38.0,-1.0,40.0,3.0,-1.0,7.0,2.0,-1.0,-1.0
39,04/15/20,1464.0,39.0,-1.0,141.0,43.0,-1.0,36.0,3.0,-1.0,7.0,3.0,-1.0,-1.0
40,04/16/20,1587.0,41.0,-1.0,143.0,46.0,-1.0,51.0,3.0,-1.0,4.0,2.0,-1.0,-1.0
41,04/17/20,1609.0,41.0,390.0,148.0,51.0,-1.0,37.0,2.0,-1.0,3.0,3.0,-1.0,-1.0
42,04/18/20,1655.0,43.0,453.0,151.0,53.0,-1.0,37.0,3.0,63.0,3.0,3.0,66.0,-1.0
43,04/19/20,1668.0,44.0,520.0,151.0,53.0,-1.0,37.0,2.0,65.0,3.0,2.0,67.0,-1.0
44,04/20/20,1672.0,45.0,585.0,151.0,53.0,-1.0,35.0,3.0,65.0,3.0,2.0,68.0,-1.0
45,04/21/20,1736.0,48.0,660.0,157.0,58.0,-1.0,40.0,2.0,68.0,3.0,3.0,70.0,-1.0
46,04/22/20,1766.0,51.0,710.0,158.0,58.0,-1.0,43.0,2.0,64.0,2.0,2.0,66.0,-1.0
47,04/23/20,1802.0,54.0,767.0,162.0,60.0,-1.0,31.0,2.0,63.0,3.0,2.0,65.0,-1.0
48,04/24/20,1836.0,54.0,822.0,166.0,63.0,-1.0,32.0,2.0,62.0,3.0,2.0,64.0,-1.0
49,04/25/20,1870.0,54.0,867.0,168.0,71.0,-1.0,31.0,2.0,59.0,2.0,3.0,61.0,-1.0
50,04/26/20,1887.0,56.0,938.0,169.0,72.0,-1.0,31.0,2.0,60.0,3.0,3.0,62.0,-1.0
51,04/27/20,1897.0,56.0,983.0,169.0,-1.0,-1.0,32.0,2.0,57.0,3.0,3.0,59.0,-1.0
52,04/28/20,1917.0,58.0,1039.0,172.0,73.0,-1.0,26.0,1.0,54.0,2.0,3.0,55.0,-1.0
53,04/29/20,1952.0,60.0,1087.0,173.0,73.0,-1.0,27.0,1.0,54.0,2.0,3.0,55.0,-1.0
54,04/30/20,1984.0,60.0,1121.0,175.0,74.0,-1.0,26.0,1.0,51.0,2.0,3.0,52.0,-1.0
55,05/01/20,2015.0,63.0,1175.0,178.0,75.0,-1.0,26.0,1.0,50.0,2.0,2.0,51.0,-1.0
56,05/02/20,2035.0,63.0,1215.0,178.0,76.0,-1.0,24.0,1.0,50.0,1.0,1.0,51.0,-1.0
57,05/03/20,2061.0,63.0,1267.0,200.0,83.0,-1.0,25.0,1.0,47.0,4.0,2.0,48.0,-1.0
58,05/04/20,2061.0,64.0,1267.0,200.0,83.0,-1.0,23.0,1.0,41.0,4.0,2.0,42.0,-1.0
59,05/05/20,2106.0,64.0,1358.0,201.0,83.0,-1.0,27.0,1.0,46.0,4.0,1.0,47.0,-1.0
60,05/06/20,2127.0,65.0,1379.0,203.0,84.0,-1.0,25.0,1.0,42.0,4.0,2.0,43.0,-1.0
61,05/07/20,2158.0,66.0,1399.0,205.0,86.0,-1.0,25.0,1.0,40.0,4.0,2.0,41.0,-1.0
62,05/08/20,2178.0,67.0,1420.0,206.0,86.0,-1.0,23.0,1.0,35.0,4.0,2.0,36.0,-1.0
63,05/09/20,2205.0,67.0,1442.0,206.0,86.0,-1.0,24.0,1.0,32.0,4.0,1.0,33.0,-1.0
64,05/10/20,2230.0,67.0,1473.0,207.0,87.0,-1.0,24.0,1.0,29.0,1.0,1.0,30.0,-1.0
65,05/11/20,2230.0,67.0,1473.0,207.0,87.0,-1.0,24.0,0.0,29.0,1.0,1.0,29.0,-1.0
66,05/12/20,2260.0,70.0,1508.0,210.0,87.0,-1.0,22.0,1.0,21.0,1.0,1.0,22.0,-1.0
